DATE,NO,SECCODE,BUYSELL,TIME,ORDERNO,ACTION,PRICE,VOLUME,TRADENO,TRADEPRICE
20020812,24,RU0009024277,S,103000000,24,1,610,400,,
20020812,26,RU0009024277,S,103000000,26,1,529.99,50,,
20020812,28,RU0009024277,B,103000000,28,1,415,300,,
20020812,54,RU0009024277,S,103000000,54,1,560,200,,
20020812,57,RU0009024277,S,103000000,57,1,570,200,,
20020812,73,RU0009024277,S,103000000,73,1,630,100,,
20020812,86,RU0009024277,S,103000000,86,1,491.2,41,,
20020812,90,RU0009024277,S,103000000,90,1,572,10,,
20020812,105,RU0009024277,S,103000000,105,1,562.84,10,,
20020812,107,RU0009024277,S,103000000,107,1,568.45,10,,
20020812,109,RU0009024277,S,103000000,109,1,515,80,,
20020812,181,RU0009024277,S,103000000,181,1,548.5,1,,
20020812,182,RU0009024277,S,103000000,182,1,497,1000,,
20020812,227,RU0009024277,S,103000000,227,1,519,500,,
20020812,244,RU0009024277,B,103000000,244,1,431.11,10,,
20020812,246,RU0009024277,B,103000000,246,1,436.11,10,,
20020812,247,RU0009024277,B,103000000,247,1,438.11,10,,
20020812,270,RU0009024277,S,103000000,270,1,494.99,500,,
20020812,275,RU0009024277,B,103000000,275,1,450,4,,
20020812,314,RU0009024277,S,103000000,314,1,519.99,50,,
20020812,340,RU0009024277,S,103000000,340,1,498.99,50,,
20020812,352,RU0009024277,S,103000000,352,1,491.99,50,,
20020812,404,RU0009024277,B,103000000,404,1,459.43,9,,
20020812,438,RU0009024277,S,103000000,438,1,492,2000,,
20020812,439,RU0009024277,S,103000000,439,1,495,2000,,
20020812,440,RU0009024277,S,103000000,440,1,520,5000,,
20020812,459,RU0009024277,B,103000000,459,1,440,100,,
20020812,460,RU0009024277,B,103000000,460,1,430,100,,
20020812,474,RU0009024277,S,103000000,474,1,502,10,,
20020812,481,RU0009024277,B,103000000,481,1,480,20,,
20020812,487,RU0009024277,S,103000000,487,1,503,5,,
20020812,512,RU0009024277,B,103000000,512,1,471,3000,,
20020812,523,RU0009024277,S,103000000,523,1,520,1100,,
20020812,527,RU0009024277,S,103000000,527,1,497,1000,,
20020812,541,RU0009024277,S,103000000,541,1,579.99,50,,
20020812,548,RU0009024277,S,103000000,548,1,554.99,50,,
20020812,550,RU0009024277,S,103000000,550,1,559.99,50,,
20020812,553,RU0009024277,S,103000000,553,1,549.99,50,,
20020812,559,RU0009024277,B,103000000,559,1,408.5,10,,
20020812,570,RU0009024277,S,103000000,570,1,566,40,,
20020812,578,RU0009024277,S,103000000,578,1,544.99,50,,
20020812,585,RU0009024277,S,103000000,585,1,534.99,50,,
20020812,590,RU0009024277,S,103000000,590,1,600,300,,
20020812,591,RU0009024277,S,103000000,591,1,580,300,,
20020812,598,RU0009024277,S,103000000,598,1,486,500,,
20020812,622,RU0009024277,S,103000000,622,1,499.99,3000,,
20020812,648,RU0009024277,B,103000000,648,1,481.7,500,,
20020812,703,RU0009024277,S,103000000,703,1,515,2000,,
20020812,789,RU0009024277,S,103000000,789,1,509,2,,
20020812,790,RU0009024277,B,103000000,790,1,471,2,,
20020812,791,RU0009024277,B,103000000,791,1,451,10,,
20020812,812,RU0009024277,B,103000000,812,1,465,50,,
20020812,838,RU0009024277,B,103000000,838,1,480,5000,,
20020812,839,RU0009024277,S,103000000,839,1,495,200,,
20020812,846,RU0009024277,B,103000000,846,1,480,10,,
20020812,847,RU0009024277,S,103000000,847,1,503,1000,,
20020812,857,RU0009024277,S,103000000,857,1,500.95,1000,,
20020812,895,RU0009024277,B,103000000,895,1,457,500,,
20020812,902,RU0009024277,S,103000000,902,1,489.5,20,,
20020812,911,RU0009024277,S,103000000,911,1,515,450,,
20020812,915,RU0009024277,S,103000000,915,1,500.75,400,,
20020812,925,RU0009024277,B,103000000,925,1,470,460,,
20020812,993,RU0009024277,B,103000000,993,1,480.13,754,,
20020812,1009,RU0009024277,B,103000000,1009,1,474,5000,,
20020812,1019,RU0009024277,B,103000000,1019,1,482.02,5,,
20020812,1087,RU0009024277,B,103000000,1087,1,469.89,50,,
20020812,1097,RU0009024277,B,103000000,1097,1,469.89,100,,
20020812,1108,RU0009024277,B,103000000,1108,1,480,1200,,
20020812,1123,RU0009024277,B,103000000,1123,1,480.02,200,,
20020812,1131,RU0009024277,S,103000000,1131,1,499,100,,
20020812,1145,RU0009024277,B,103000000,1145,1,451,1560,,
20020812,1178,RU0009024277,S,103000000,1178,1,500,500,,
20020812,1234,RU0009024277,B,103000000,1234,1,460,2,,
